mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
15,1,1,0,1,2,2,0,1,0,1,0,1,0,1,Take sibur
10,0,1,1,0,2,2,0,1,0,0,1,1,1,1,Take linemate
4,0,2,0,1,1,1,1,0,0,1,1,0,0,1,Take food
7,0,1,1,1,1,0,0,0,1,1,1,1,0,1,Take deraumere
14,2,1,1,0,0,2,1,0,1,0,1,1,0,1,Elevation
15,2,0,2,1,1,0,1,1,1,0,0,1,0,1,Take deraumere
11,0,2,1,2,2,2,1,0,0,1,0,0,0,1,Take food
2,0,0,0,2,2,2,1,1,1,0,0,0,1,0,Take food
8,1,2,2,2,2,1,0,0,0,0,0,0,1,1,Elevation
13,1,0,2,0,0,1,0,1,1,1,1,1,0,1,Take deraumere
12,0,2,1,0,2,2,1,0,1,0,1,0,0,1,Take food
6,2,1,0,1,1,1,0,0,0,1,0,0,1,1,Take sibur
4,2,0,0,1,2,0,1,0,1,1,0,0,0,1,Take food
9,0,0,0,0,2,0,1,1,1,1,1,0,1,1,Take linemate
5,0,2,1,2,1,1,0,1,1,0,0,1,0,1,Find food
11,1,0,0,0,1,2,0,0,1,0,1,1,1,1,Take deraumere
10,1,0,2,2,0,1,1,1,1,1,0,0,1,1,Take deraumere
6,2,1,0,0,1,1,0,0,1,1,1,1,0,1,Take sibur
15,1,1,2,0,0,1,0,1,0,0,1,1,0,1,Elevation
9,1,0,0,0,0,2,0,1,0,0,0,0,0,1,Take linemate
10,2,0,0,1,0,0,1,0,0,0,0,1,0,1,Take food
9,2,1,0,1,0,2,1,1,0,0,1,1,0,1,Take food
7,1,0,0,0,2,1,0,1,1,1,0,1,0,1,Take deraumere
6,1,0,2,0,2,1,1,0,0,1,0,1,0,1,Take food
5,2,0,0,2,0,1,1,0,1,0,0,1,1,1,Take food
15,1,0,0,1,1,1,0,0,1,1,0,1,0,1,Take deraumere
5,1,2,0,2,0,2,0,0,0,0,1,1,0,1,Find food
2,0,1,2,2,1,2,0,1,0,1,0,0,0,1,Find food
7,1,0,0,1,0,1,0,1,0,0,0,1,1,1,Take thystame
8,2,2,0,1,2,0,1,1,0,0,1,0,0,1,Take food
9,0,2,1,2,1,2,0,0,0,0,0,0,0,1,Fork
13,2,1,1,2,1,0,0,1,0,1,1,0,0,1,Elevation
2,0,2,1,0,1,0,1,0,0,0,1,1,0,0,Take food
15,0,1,0,0,1,2,1,1,0,0,0,1,0,1,Take linemate
6,2,1,0,0,1,2,0,1,1,1,1,0,0,1,Take sibur
2,0,2,2,2,1,1,0,0,0,0,1,0,1,0,Find food
14,1,1,2,0,0,1,1,1,0,0,1,0,1,1,Elevation
4,1,1,2,0,1,0,1,1,1,0,1,0,1,1,Take food
8,0,0,0,1,0,1,1,0,0,0,1,0,0,1,Take food
2,0,2,0,2,2,1,1,1,1,0,0,0,1,1,Take food
1,2,1,0,2,0,1,0,0,1,1,0,0,1,1,Find food
13,0,2,0,0,2,2,1,0,0,0,1,0,1,1,Take food
7,1,1,0,0,2,2,1,1,1,1,1,0,0,1,Take sibur
8,1,1,0,0,1,2,1,1,0,0,1,1,0,1,Take food
15,1,2,1,0,2,1,1,1,0,0,1,0,1,1,Elevation
6,0,1,0,2,1,1,1,1,0,1,0,1,1,1,Take linemate
7,2,1,2,1,1,2,1,0,0,0,0,0,1,1,Elevation
13,2,0,2,1,2,2,1,1,0,0,1,1,1,1,Take food
1,1,1,1,2,0,2,0,1,0,1,1,0,0,0,Find food
7,2,1,1,0,0,2,0,1,1,1,0,0,1,1,Elevation
14,1,0,1,1,2,0,1,1,0,1,0,0,0,1,Take food
3,1,2,0,2,0,0,1,1,0,1,1,0,0,1,Take food
13,1,2,2,0,2,2,1,0,0,1,0,0,1,1,Elevation
12,0,0,1,1,2,2,0,0,1,0,1,0,0,1,Tke deraumere
12,2,2,0,2,2,0,0,1,1,0,1,0,0,1,Tke mendiane
14,1,1,1,2,1,2,1,0,0,0,0,1,0,1,Elevation
15,0,1,2,2,1,2,1,1,0,1,0,1,1,1,Take linemate
4,1,1,2,1,1,2,0,0,0,0,0,0,1,1,Find food
4,2,0,2,1,0,2,0,1,0,0,1,0,1,1,Find food
2,0,1,1,2,1,1,1,1,1,1,0,0,0,1,Take food
14,1,0,2,2,1,1,0,0,1,0,1,0,1,1,Take deraumere
10,0,0,2,2,0,1,1,1,0,1,0,1,1,0,Take linemate
13,2,0,1,1,1,2,1,1,1,0,1,0,0,1,Take deraumere
6,0,2,0,1,0,1,0,1,0,0,1,1,0,1,Take linemate
12,2,2,0,1,0,1,1,1,0,1,1,1,1,1,Take sibur
2,1,1,2,1,0,1,0,0,1,1,0,0,1,1,Find food
5,2,0,0,0,0,2,0,0,1,1,0,1,1,0,Find food
7,0,0,0,2,2,0,0,0,1,1,0,0,1,1,Take deraumere
3,2,1,1,1,0,1,0,0,0,0,0,0,0,1,Find food
10,2,1,2,2,2,1,1,0,0,0,0,1,0,1,Elevation
13,0,2,1,1,1,0,0,0,0,1,0,0,1,1,Take thystame
7,1,0,2,1,0,1,0,0,0,0,0,0,0,1,Fork
8,0,1,0,1,0,1,0,0,0,0,0,0,1,1,Take thystame
7,2,2,0,2,1,1,0,1,0,0,0,0,1,1,Take linemate
15,2,2,0,1,1,0,1,0,0,0,1,1,0,1,Take food
11,0,0,1,1,2,1,0,1,0,1,0,1,1,1,Take linemate
15,0,0,0,2,1,0,0,0,0,1,0,1,1,1,Take sibur
1,1,0,0,0,1,2,1,0,0,0,0,1,0,1,Take food
14,2,0,2,1,1,2,0,1,1,1,0,1,1,1,Take deraumere
6,2,2,0,1,2,1,1,1,0,0,0,1,1,1,Take food
9,1,2,1,2,2,1,1,0,1,0,0,1,0,0,Elevation
6,0,1,0,2,2,2,1,0,0,0,1,1,0,1,Take food
14,2,2,0,0,2,0,0,0,0,0,1,0,0,1,Take mendiane
8,1,1,0,1,1,1,1,0,1,0,0,0,0,1,Take food
4,1,2,2,0,1,0,1,1,1,1,0,1,1,1,Take food
12,0,2,2,1,0,2,0,1,1,0,0,1,0,1,Take linemate
3,2,1,0,1,0,0,1,0,1,1,0,1,0,1,Take food
5,2,0,2,1,1,1,1,1,0,1,1,0,0,1,Take food
13,1,2,2,1,0,0,0,0,0,0,0,0,0,1,Elevation
10,0,1,0,1,0,1,0,1,0,1,1,0,0,0,Take linemate
15,2,0,1,0,0,2,0,0,1,0,0,1,1,1,Take deraumere
8,2,1,2,0,0,1,1,0,1,0,1,1,0,1,Elevation
15,2,1,1,0,0,0,0,1,0,0,1,0,1,1,Elevation
15,1,2,2,1,1,2,0,1,1,0,0,1,0,1,Elevation
1,2,1,1,1,2,2,0,0,1,1,0,1,1,1,Find food
9,2,0,2,0,0,2,0,0,0,1,0,1,1,1,Take sibur
15,2,2,0,1,1,0,1,1,0,1,0,1,1,1,Take sibur
14,0,0,2,0,2,0,0,1,0,1,0,0,0,1,Take linemate
9,2,1,1,1,1,2,1,1,1,1,1,1,0,0,Elevation
15,1,2,0,0,2,0,1,0,1,0,0,1,0,1,Take food
2,1,1,1,0,0,1,0,1,0,0,0,1,1,1,Find food
