mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
11,0,3,1,3,0,3,1,1,1,1,0,0,1,1,Take food
2,0,0,2,1,2,3,1,1,0,0,0,0,1,1,Take food
15,2,2,0,0,0,0,1,1,1,1,0,0,0,1,Take food
11,1,0,1,2,3,2,1,0,1,0,0,1,0,1,Take food
12,0,2,3,1,2,0,1,0,0,0,0,0,0,1,Take food
1,3,0,2,3,0,0,1,1,1,1,0,1,1,1,Take food
4,1,3,2,3,2,0,1,0,0,1,0,0,1,1,Take food
11,3,0,0,2,2,0,1,1,0,0,0,1,0,1,Take food
6,1,2,3,3,1,0,1,1,0,0,0,1,1,1,Take food
3,1,1,3,0,2,0,1,0,1,0,0,0,0,1,Take food
6,0,0,2,2,0,1,1,1,1,0,1,0,1,1,Take food
1,1,2,3,1,1,1,1,1,1,1,1,0,1,1,Take food
10,0,3,2,3,0,2,1,0,1,0,0,1,0,1,Take food
10,3,2,3,0,3,1,1,1,0,1,1,0,1,1,Take food
7,0,2,1,1,0,1,1,1,1,1,0,1,1,1,Take food
7,0,2,3,1,1,1,1,0,0,1,1,0,1,1,Take food
12,1,1,1,0,1,1,1,0,1,0,1,0,0,1,Take food
13,1,3,1,2,1,3,1,1,0,0,0,1,0,1,Take food
13,3,2,0,1,3,1,1,0,0,1,1,0,1,1,Take food
11,2,0,2,3,2,1,1,0,0,1,0,0,0,1,Take food
13,0,2,3,0,1,2,1,1,0,0,1,0,0,1,Take food
12,2,3,3,1,1,3,1,1,1,0,1,1,1,1,Take food
5,2,0,2,0,1,2,1,1,0,1,0,1,0,1,Take food
4,0,1,3,1,0,0,1,0,0,0,1,0,0,1,Take food
5,1,2,2,3,3,3,1,1,0,0,0,0,0,1,Take food
