mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
1,1,3,1,3,2,1,1,0,1,1,0,0,1,1,Take food
14,2,2,3,1,0,3,1,0,0,0,1,1,1,1,Take mendiane
9,2,2,0,0,1,1,0,1,1,1,0,0,1,1,Take sibur
6,1,3,0,0,1,2,1,0,0,1,0,0,1,1,Take sibur
11,3,3,2,0,0,1,1,1,0,1,0,0,1,1,Take food
5,0,0,3,2,1,0,0,1,0,1,1,1,1,1,Find food
11,1,0,1,0,3,0,1,1,0,0,0,1,1,0,Take food
3,3,3,2,2,0,1,1,0,1,0,0,1,1,1,Take food
10,2,2,0,2,1,3,0,1,1,0,1,1,1,1,Take mendiane
9,0,3,1,2,3,3,0,0,0,1,1,0,1,0,Take mendiane
12,3,0,3,1,2,3,0,0,1,1,0,0,0,1,Take sibur
8,0,1,0,1,2,3,1,0,1,1,0,0,0,1,Take sibur
7,3,0,1,1,3,2,1,1,0,0,0,1,1,1,Take food
15,3,0,3,3,3,3,1,0,1,0,1,0,0,1,Take mendiane
4,3,1,1,3,2,3,1,1,0,1,1,0,0,1,Take food
11,0,1,1,2,3,3,1,0,0,0,0,1,1,1,Take food
9,0,0,1,1,2,1,1,0,1,0,1,0,1,1,Take mendiane
8,3,3,1,1,0,2,1,0,1,0,1,1,0,1,Take mendiane
8,1,0,3,1,0,2,1,1,0,1,1,0,0,1,Take mendiane
5,3,0,1,2,1,0,0,1,0,0,0,1,1,1,Find food
3,3,1,2,1,3,2,0,0,1,0,0,1,1,1,Find food
14,0,2,0,3,3,1,1,0,0,0,0,0,0,1,Take food
13,2,0,0,3,0,1,0,0,1,0,0,1,1,1,Take deraumere
5,0,1,0,1,1,1,1,1,1,0,0,0,0,1,Take food
15,2,3,1,0,2,3,0,0,0,0,1,1,1,1,Take mendiane
10,1,0,2,3,1,2,0,0,0,0,1,1,1,1,Find food
11,3,0,1,3,3,3,0,0,1,0,1,1,1,1,Take mendiane
4,3,1,1,2,0,0,1,0,1,1,1,0,1,1,Take food
6,1,3,1,3,3,0,1,1,1,0,0,0,0,1,Elevation
6,3,2,1,3,1,2,0,0,0,1,1,1,1,1,Elevation
1,1,0,0,1,2,3,1,0,1,0,1,1,0,0,Take food
7,0,1,3,0,3,2,1,0,1,0,0,1,1,1,Take food
12,0,0,1,3,2,0,0,1,1,0,1,1,0,1,Take linemate
14,1,0,0,2,1,3,1,1,0,0,1,1,0,0,Take mendiane
11,2,2,0,0,3,0,1,0,1,0,0,1,1,1,Take food
2,0,0,1,2,0,1,0,1,0,1,0,1,0,1,Find food
1,0,1,0,1,3,2,1,1,1,0,0,0,0,1,Take food
5,2,3,1,2,1,0,0,1,1,1,1,1,1,1,Find food
9,2,0,1,0,2,1,0,1,1,0,0,1,0,1,Take linemate
7,3,2,2,1,3,2,0,1,0,1,0,1,1,1,Find food
13,0,2,1,1,3,1,1,0,1,0,0,1,1,1,Take food
4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,Take food
10,3,3,1,3,2,1,0,0,1,0,0,1,1,1,Elevation
1,1,1,2,2,0,2,0,1,0,1,0,0,0,1,Find food
15,1,3,3,0,0,2,0,0,0,1,0,1,0,1,Find food
8,0,3,2,3,2,3,1,1,1,1,0,0,0,1,Take linemate
2,3,0,3,1,0,2,1,0,1,0,1,1,0,1,Take food
6,0,3,3,3,3,3,1,1,0,0,0,0,0,1,Take linemate
9,3,2,2,1,1,1,0,0,1,1,0,1,0,0,Find food
3,0,1,1,3,2,2,0,0,1,0,0,0,0,1,Find food
6,1,2,1,3,1,0,0,1,1,0,0,0,1,1,Elevation
9,0,0,0,0,3,1,1,0,0,1,1,1,1,1,Take sibur
15,3,0,0,0,2,2,1,1,0,1,1,1,0,1,Take sibur
15,1,2,3,3,0,2,0,1,1,0,1,1,0,1,Elevation
2,0,2,1,0,2,0,1,1,1,1,1,1,0,1,Take food
10,2,1,3,3,1,3,0,0,1,0,0,0,0,1,Find food
1,2,3,2,3,0,1,0,1,0,0,0,1,0,1,Find food
2,3,0,1,3,0,1,1,1,0,0,0,0,1,1,Take food
6,3,1,2,2,2,3,1,1,1,0,0,0,0,1,Take deraumere
13,3,2,3,3,1,2,0,1,0,1,1,1,0,1,Elevation
4,1,1,0,3,1,3,1,1,1,0,0,1,0,1,Take food
3,0,1,1,0,0,3,1,1,1,1,1,0,1,1,Take food
9,3,3,1,3,1,3,0,1,0,0,1,1,0,1,Elevation
15,2,2,1,0,0,1,0,0,1,0,0,1,1,1,Find food
4,2,0,1,0,3,0,1,1,0,1,1,1,1,1,Take food
6,1,0,1,0,0,3,0,0,0,1,0,1,0,1,Find food
9,1,2,0,2,0,1,1,1,1,0,1,0,0,1,Take mendiane
8,1,1,3,1,3,3,0,1,0,0,0,0,1,1,Find food
4,1,2,2,3,0,2,0,1,1,1,0,1,0,1,Find food
4,1,3,3,2,0,2,0,0,1,1,0,0,0,1,Find food
3,2,0,3,2,2,2,0,0,0,1,0,0,0,1,Find food
8,1,1,1,2,1,1,1,0,0,0,0,1,1,1,Take food
11,0,1,0,0,0,3,0,1,1,1,0,0,1,1,Take linemate
1,0,3,1,3,2,3,1,0,0,1,0,0,0,1,Take food
8,1,0,1,3,3,3,1,1,1,1,0,1,0,1,Take sibur
4,3,0,2,1,2,3,1,0,0,1,0,0,0,1,Take food
8,2,1,0,0,3,2,1,0,1,1,0,1,0,1,Take sibur
7,1,3,0,1,0,2,0,1,0,0,1,1,1,1,Take mendiane
12,1,0,0,1,3,0,1,1,1,1,0,1,1,1,Take sibur
7,3,1,3,1,0,1,0,1,1,1,0,1,0,1,Find food
7,0,0,0,0,0,1,0,0,1,0,1,1,0,1,Take mendiane
1,2,1,2,3,1,0,1,1,1,0,0,1,1,1,Take food
5,3,2,2,2,3,2,0,0,1,0,0,1,1,1,Find food
9,1,1,3,2,2,0,1,0,1,1,1,0,0,1,Take mendiane
14,2,2,1,2,1,2,0,0,0,1,1,1,0,1,Take mendiane
5,1,3,1,2,3,3,0,1,0,1,1,0,0,1,Find food
8,0,0,3,3,0,0,1,0,1,0,1,0,1,1,Take mendiane
6,2,1,1,2,0,0,1,0,1,1,1,1,0,1,Take mendiane
4,1,1,1,2,3,2,1,0,1,0,1,1,0,1,Take food
10,1,3,2,0,3,1,0,1,0,1,0,0,0,1,Find food
3,3,1,3,1,3,2,1,1,0,1,1,1,1,1,Take food
13,1,3,1,3,2,2,0,0,1,0,0,1,0,1,Find food
14,3,2,1,0,2,3,1,0,1,0,0,0,0,1,Take food
13,2,1,0,2,0,0,1,0,0,0,0,0,1,1,Take food
12,3,1,2,1,3,1,0,1,0,1,0,1,1,1,Find food
8,2,3,2,2,1,3,1,0,1,0,1,0,1,1,Take mendiane
1,0,1,1,1,2,0,1,1,0,1,1,1,0,1,Take food
10,2,2,0,2,1,3,1,1,1,0,0,0,0,1,Take food
11,2,0,1,1,2,3,0,1,0,1,0,0,0,1,Find food
7,2,0,2,0,1,3,0,1,1,1,0,1,1,1,Take deraumere
14,1,0,0,2,2,2,1,0,1,1,1,0,0,1,Take sibur
14,0,1,2,0,1,3,0,0,1,0,1,1,0,1,Take mendiane
1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,Find food
7,2,0,3,1,3,0,0,0,0,1,1,1,0,1,Take mendiane
10,1,0,3,0,0,0,0,0,1,1,1,1,0,1,Take deraumere
7,3,1,2,0,1,2,1,1,1,0,0,0,0,1,Take deraumere
8,0,3,3,3,2,2,0,0,0,0,0,1,0,1,Find food
15,3,3,1,1,2,0,0,0,0,1,0,1,0,1,Find food
13,3,1,0,3,3,3,1,1,1,1,0,0,1,1,Take sibur
9,3,2,3,0,3,3,1,0,0,0,1,1,0,1,Take mendiane
5,2,3,0,0,1,2,0,0,1,1,1,0,0,1,Find food
8,2,3,0,0,3,1,0,1,1,1,1,0,0,1,Take sibur
6,0,2,2,3,3,0,1,1,0,0,1,1,0,1,Take linemate
15,3,0,3,3,1,2,1,1,1,1,0,0,0,1,Take deraumere
12,3,0,2,0,3,2,0,1,0,1,1,0,1,1,Take mendiane
13,2,2,0,3,1,0,1,1,0,1,1,1,0,1,Take sibur
12,1,3,2,3,1,0,0,1,1,0,0,0,0,1,Find food
7,1,1,0,0,0,0,1,1,1,1,0,0,1,1,Take sibur
13,2,2,2,0,3,1,1,0,1,0,0,1,0,1,Take food
1,3,0,3,0,0,0,1,1,1,1,0,1,0,1,Take food
2,1,0,2,1,0,2,1,1,0,0,0,0,0,1,Take food
4,3,2,0,3,1,0,0,1,0,1,1,1,0,1,Find food
4,0,2,0,2,0,1,0,1,0,1,1,1,1,1,Find food
3,2,3,2,3,2,3,1,0,1,1,0,0,0,1,Take food
10,2,2,2,1,1,3,1,1,1,0,1,1,0,1,Take mendiane
12,0,0,3,3,0,1,1,0,1,0,1,0,0,1,Take deraumere
12,3,3,3,3,1,1,0,1,0,0,0,0,0,0,Find food
13,2,3,2,0,1,2,1,1,1,0,0,0,0,1,Take food
4,2,2,1,1,1,3,0,1,1,1,0,0,1,1,Find food
11,2,0,0,0,2,0,1,1,1,0,1,0,0,1,Take mendiane
5,3,2,1,0,3,2,1,1,1,0,0,1,0,1,Take food
8,1,3,1,1,3,0,1,0,0,1,1,0,0,1,Take mendiane
5,1,2,0,2,2,3,0,1,0,1,1,1,1,1,Find food
3,1,0,1,3,2,1,0,1,1,1,1,1,0,1,Find food
6,1,0,2,1,2,3,0,1,1,1,1,0,1,1,Take mendiane
14,1,2,1,1,0,2,0,1,0,0,0,0,0,1,Find food
4,0,3,1,3,2,0,1,1,0,0,1,0,1,1,Take food
4,1,0,0,1,0,0,1,1,0,1,1,1,0,1,Take food
5,2,2,0,2,2,1,0,1,1,1,1,1,0,1,Find food
2,0,3,0,2,1,1,0,0,1,0,1,1,0,1,Find food
2,1,0,1,1,0,0,0,1,0,1,0,1,0,1,Find food
6,0,3,1,0,3,3,1,1,0,0,0,1,1,1,Take linemate
9,1,1,3,1,2,1,0,0,1,0,0,0,0,1,Take deraumere
11,0,2,1,1,0,2,0,1,1,1,1,1,0,1,Take linemate
12,0,2,1,3,3,3,1,0,0,0,1,1,1,1,Take food
14,0,2,3,1,3,1,0,1,0,1,0,1,1,1,Take linemate
4,0,1,1,3,0,3,1,0,0,0,1,1,0,0,Take food
12,2,3,1,3,3,1,1,1,1,1,0,1,1,1,Elevation
8,1,1,1,2,3,0,0,0,0,0,1,1,0,1,Take mendiane
1,1,3,0,0,3,0,1,0,1,0,0,0,1,1,Take food
10,0,2,3,0,3,0,0,0,0,0,0,0,1,1,Find food
6,0,0,2,2,0,2,1,0,1,0,1,1,0,1,Take mendiane
14,2,2,1,2,1,0,0,0,0,0,0,1,1,1,Find food
14,2,0,2,3,3,1,0,1,0,0,1,0,1,1,Find food
15,2,1,3,2,3,2,1,0,1,0,1,1,0,1,Take mendiane
2,1,2,0,0,0,1,1,0,1,0,0,1,0,1,Take food
13,0,1,0,3,2,0,1,0,0,0,0,0,0,1,Take food
3,3,3,2,0,0,0,1,1,0,0,0,0,1,1,Take food
3,0,0,2,2,2,0,1,0,1,0,1,0,0,1,Take food
4,0,2,2,0,3,1,0,0,0,0,0,0,0,1,Find food
9,3,1,1,1,3,3,1,0,1,0,1,0,0,1,Take mendiane
10,2,1,3,1,2,1,0,1,0,0,0,0,1,1,Find food
1,2,0,2,1,3,0,1,0,1,0,1,0,0,1,Take food
4,0,2,3,1,2,3,0,1,0,1,0,1,0,1,Find food
6,3,0,2,3,2,0,1,1,0,1,1,1,0,1,Take food
3,3,1,2,3,1,2,0,1,0,0,0,0,1,1,Find food
1,0,2,1,0,2,0,1,1,0,1,0,0,1,1,Take food
8,1,0,3,0,2,3,0,0,1,1,1,1,0,1,Take mendiane
1,2,3,3,0,3,2,1,1,1,1,0,0,0,1,Take food
13,2,1,3,1,0,0,0,1,0,1,0,1,1,1,Find food
2,2,1,1,0,3,2,0,0,1,1,0,1,0,1,Find food
9,0,1,3,0,1,0,0,1,1,0,0,1,0,1,Take linemate
13,3,0,3,0,0,2,0,1,0,0,0,1,0,1,Find food
1,1,3,1,3,3,3,0,0,0,1,0,0,1,1,Find food
9,0,3,2,3,1,2,1,1,1,1,1,0,0,1,Take linemate
11,1,3,0,3,1,2,0,1,1,0,1,1,1,1,Find food
14,2,3,1,0,2,1,0,1,0,0,1,0,1,1,Take mendiane
4,2,0,1,1,0,3,1,0,1,1,0,1,1,1,Take food
