mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
10,2,1,2,2,0,1,1,1,1,1,0,1,1,1,Take deraumere
6,3,0,0,1,3,2,0,0,0,0,0,1,0,1,Find food
5,2,2,1,1,0,0,0,1,0,1,0,1,1,1,Find food
13,2,3,2,1,3,3,0,1,1,1,1,1,0,1,Take sibur
7,1,0,2,0,1,1,0,0,0,0,1,1,1,0,Find food
11,3,0,1,0,3,2,0,0,0,1,1,0,0,1,Take sibur
9,3,1,0,1,2,0,0,1,0,1,0,0,0,1,Take sibur
12,2,2,3,3,1,1,0,0,0,1,0,0,1,1,Elevation
3,2,0,3,0,0,2,0,0,0,0,1,1,0,1,Find food
12,0,3,2,3,1,2,1,1,0,0,1,0,1,1,Take linemate
7,3,0,3,3,2,3,0,1,1,1,1,1,0,1,Take deraumere
1,2,3,3,1,3,3,1,0,1,0,1,0,0,1,Take food
10,0,0,1,3,0,2,1,0,0,1,1,0,0,1,Take sibur
10,3,3,1,1,0,2,0,1,1,1,0,1,1,1,Take sibur
7,1,3,1,1,1,0,0,1,0,0,0,0,0,1,Find food
8,2,2,2,1,1,2,1,0,1,1,1,0,1,1,Take sibur
11,1,0,0,0,1,0,1,1,1,1,0,1,0,1,Take deraumere
11,0,0,1,1,0,2,0,1,1,1,0,1,1,1,Take deraumere
14,2,2,0,2,2,2,1,0,0,0,1,1,0,1,Take food
15,3,2,3,1,1,2,1,1,0,0,0,1,1,1,Elevation
3,2,0,1,0,1,1,0,1,0,1,1,1,1,1,Find food
3,3,3,3,2,3,2,1,1,1,1,0,0,1,1,Take food
5,1,0,1,2,3,3,0,1,0,0,1,1,0,1,Find food
1,3,3,1,1,1,2,1,1,1,0,1,1,0,1,Take food
8,1,2,3,3,1,3,0,1,1,1,1,0,0,1,Elevation
12,2,1,3,2,1,1,1,0,0,1,0,1,0,1,Take food
6,1,3,1,1,3,3,1,1,1,0,0,0,0,1,Take food
7,2,0,1,0,3,1,0,0,0,1,0,0,0,1,Take sibur
3,3,1,2,2,0,2,0,0,0,1,1,1,0,1,Find food
12,1,1,1,0,3,2,0,1,1,1,0,1,1,1,Take deraumere
12,1,1,0,2,3,1,0,0,1,0,0,0,0,1,Take deraumere
14,2,0,1,2,3,1,0,1,0,1,0,0,1,1,Take sibur
8,2,2,1,0,3,1,0,1,0,0,1,0,0,1,Find food
7,0,3,1,1,1,1,1,1,0,1,1,0,1,1,Take linemate
11,3,1,3,2,0,2,1,1,0,1,0,1,1,1,Take phiras
3,1,2,0,1,0,0,1,1,1,1,0,0,1,1,Take food
12,0,1,2,3,1,1,0,0,1,0,1,0,1,1,Take deraumere
15,0,0,3,1,2,0,0,1,0,1,1,0,1,1,Take linemate
10,3,2,0,1,2,2,1,1,0,0,1,0,0,1,Take food
10,3,0,3,3,2,2,0,1,1,0,1,1,1,1,Take deraumere
1,1,1,1,0,2,2,1,1,0,1,0,0,1,1,Take food
8,2,3,0,3,3,2,0,1,1,0,0,1,0,1,Find food
10,3,3,2,1,2,3,1,1,0,1,0,1,0,1,Take sibur
1,3,3,3,2,3,3,1,0,1,0,0,1,1,1,Take food
2,3,3,2,1,1,3,0,0,0,0,1,0,0,1,Find food
7,2,0,2,0,1,0,1,0,0,0,1,1,0,1,Take food
15,3,1,0,0,0,2,0,1,1,1,1,0,0,1,Take deraumere
9,2,3,3,2,1,0,1,0,1,1,1,1,1,1,Elevation
9,1,3,1,2,0,0,0,1,1,0,0,1,1,1,Take phiras
13,1,2,3,3,1,1,0,0,1,0,1,1,0,1,Elevation
10,1,2,2,0,0,3,0,0,0,1,0,1,1,1,Take sibur
11,3,0,0,0,2,2,0,0,0,1,0,0,0,1,Take sibur
7,1,2,2,0,2,0,0,0,1,1,1,1,1,1,Take sibur
14,2,1,3,1,2,3,1,1,0,1,0,1,1,1,Take food
9,2,3,1,3,2,1,0,0,0,0,0,0,0,1,Find food
14,3,0,0,3,2,2,1,1,0,1,0,0,0,1,Take sibur
8,0,0,3,2,0,2,1,1,1,0,1,1,0,1,Take linemate
5,3,2,0,2,2,0,0,0,0,0,1,0,0,1,Find food
6,1,2,1,0,1,3,1,1,1,0,1,0,0,1,Take food
12,0,0,1,1,2,1,1,0,0,1,0,1,1,1,Take sibur
4,3,3,1,1,2,2,0,1,0,1,1,0,1,0,Find food
14,1,1,3,2,1,3,0,1,0,1,1,0,1,1,Find food
4,3,3,0,2,1,1,0,0,0,1,1,1,1,1,Find food
6,3,2,3,0,1,0,1,1,0,0,0,0,0,1,Elevation
14,1,2,0,0,0,1,0,1,0,0,0,1,0,1,Take phiras
3,1,0,2,3,0,2,0,1,0,0,0,1,1,1,Find food
4,2,0,3,1,3,3,1,1,0,0,0,0,1,1,Take food
2,3,0,0,1,1,1,1,0,1,1,0,0,1,1,Take food
12,1,1,0,3,0,3,0,0,0,0,1,0,1,1,Find food
14,3,0,1,1,3,3,0,1,1,0,1,1,0,1,Take deraumere
