mfood,mlinemate,mderaumere,msibur,mmendiane,mphiras,mthystame,lfood,llinemate,lderaumere,lsibur,lmendiane,lphiras,lthystame,enemy,response
11,0,0,1,1,1,0,1,0,1,0,0,1,1,1,Take food
12,1,0,1,1,0,0,0,1,0,0,0,1,0,1,Elevation
2,0,1,1,1,0,1,0,1,1,0,1,1,0,0,Find food
4,0,1,0,1,0,0,0,0,1,1,1,1,0,1,Find food
8,0,1,1,0,1,1,0,0,0,0,1,0,1,1,Take mendiane
14,1,0,0,0,0,1,0,1,0,1,0,0,0,1,Elevation
11,0,0,0,0,1,0,1,0,0,0,1,0,1,1,Take food
7,1,0,1,1,1,0,0,0,1,0,1,1,1,0,Elevation
7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Elevation
14,1,0,1,0,1,0,0,0,0,1,1,1,0,1,Elevation
9,0,0,1,1,0,0,1,1,1,0,1,1,0,0,Take linemate
6,1,0,0,0,1,0,1,0,0,0,1,1,0,1,Elevation
12,1,0,0,1,1,1,1,1,1,1,0,1,0,1,Elevation
7,0,1,0,0,1,1,1,0,0,1,1,0,0,0,Take food
8,1,1,0,0,0,0,1,0,1,1,1,1,0,1,Elevation
13,1,1,1,1,1,0,1,1,0,1,0,0,1,1,Elevation
3,1,1,1,0,1,1,0,0,1,0,0,0,1,1,Find food
14,1,1,0,0,1,1,1,0,0,0,1,0,1,0,Elevation
1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,Find food
7,1,1,0,1,1,1,1,0,1,0,1,1,0,0,Elevation
6,0,1,1,0,0,0,0,1,0,1,0,1,0,1,Take linemate
4,0,1,0,1,0,1,0,0,0,0,0,0,1,1,Find food
9,0,0,1,0,0,0,0,1,0,1,1,1,0,1,Take linemate
13,0,1,0,0,0,1,0,1,0,1,0,1,0,1,Take linemate
15,1,1,1,0,1,1,0,0,0,1,1,1,0,1,Elevation
15,0,0,0,0,0,1,1,1,0,0,1,0,1,1,Take linemate
6,1,0,0,0,0,1,1,1,1,0,0,0,1,0,Elevation
13,1,1,1,1,1,0,1,0,0,1,1,0,1,1,Elevation
9,0,1,1,0,1,0,0,1,1,0,0,0,1,0,Take linemate
4,1,0,0,0,0,1,1,0,0,1,0,0,1,1,Take food
1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,Take food
15,1,0,0,0,0,0,1,1,0,0,0,1,1,0,Elevation
14,0,1,1,1,0,1,1,0,1,1,0,0,0,1,Take food
2,1,1,1,1,0,1,0,1,1,1,1,1,0,1,Find food
14,0,1,1,1,1,1,0,0,0,1,0,1,1,1,Take thystame
11,0,0,0,1,0,0,1,0,0,1,0,1,1,0,Take food
6,0,1,1,1,0,1,1,1,1,0,1,0,1,1,Take linemate
8,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Elevation
14,1,0,1,1,1,0,0,0,0,1,0,0,1,1,Elevation
11,1,1,1,0,0,1,1,0,1,0,1,0,0,1,Elevation
8,0,1,0,1,0,0,0,0,1,0,0,1,0,1,Take phiras
2,0,0,0,0,1,0,0,0,1,0,1,1,0,1,Find food
12,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Take phiras
7,0,1,0,1,0,1,1,0,1,1,0,0,0,1,Take food
8,0,1,1,0,0,1,1,1,0,1,0,0,1,0,Take linemate
3,1,1,1,0,1,1,0,1,1,1,0,0,0,0,Find food
15,0,1,0,1,0,0,1,0,0,1,0,0,1,0,Take food
10,0,0,1,0,1,0,1,0,1,1,1,0,1,1,Take food
13,1,1,1,1,0,0,1,1,0,0,0,1,1,1,Elevation
5,1,0,1,0,0,0,1,0,1,1,0,1,1,1,Take food
11,0,0,0,1,1,1,0,0,0,0,1,1,0,1,Fork
13,0,1,1,0,0,0,0,1,0,0,0,0,0,1,Take linemate
13,1,1,1,1,0,0,0,0,1,0,0,1,0,1,Elevation
12,1,0,1,0,0,1,1,1,0,1,0,1,1,0,Elevation
8,0,1,1,1,0,1,0,1,1,1,1,0,0,1,Take linemate
14,1,0,1,1,1,1,0,1,1,0,0,1,1,1,Elevation
10,0,1,1,0,1,1,0,1,1,0,1,1,0,1,Take linemate
10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Take sibur
13,1,1,1,0,0,1,1,0,1,1,0,1,1,1,Elevation
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,Take food
9,0,1,0,0,0,1,0,1,1,0,1,1,1,1,Take linemate
8,0,0,0,0,1,1,1,0,1,0,1,0,0,1,Take food
11,1,0,0,0,0,1,1,1,1,0,1,0,0,0,Elevation
15,1,1,1,1,0,1,1,0,1,1,1,1,1,1,Elevation
1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,Find food
10,1,0,1,0,0,1,0,1,1,0,1,0,1,1,Elevation
14,1,1,1,0,1,0,1,0,1,0,1,1,0,1,Elevation
8,0,1,1,0,0,0,1,0,1,0,0,0,0,1,Take food
14,1,1,0,0,1,0,0,0,0,0,1,0,0,1,Elevation
1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,Take food
10,1,0,1,1,0,1,0,1,0,1,0,1,0,1,Elevation
10,1,0,1,1,0,1,1,0,1,0,1,0,1,1,Elevation
11,1,1,1,1,1,0,1,1,1,0,0,0,0,1,Elevation
14,1,0,1,0,0,0,1,0,1,1,1,1,1,0,Elevation
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Take food
9,1,1,1,0,0,0,0,1,0,0,0,1,0,1,Elevation
8,1,0,1,0,0,1,1,1,1,1,1,1,0,1,Elevation
5,1,1,0,0,1,1,1,0,0,0,0,1,0,1,Take food
15,1,0,1,1,0,1,1,0,0,0,1,0,0,0,Elevation
5,1,0,0,1,0,1,1,0,1,1,1,0,0,0,Take food
